customerid,PD,EAD,LGD,Expected_Loss
128,0.0,2149.07,0.9,0.03
129,0.9834,2448.73,0.9,2167.16
130,0.0003,4979.31,0.9,1.41
131,0.0,4267.11,0.9,0.07
132,0.0,2869.3,0.9,0.03
133,1e-04,3037.03,0.9,0.16
134,0.0,1834.41,0.9,0.03
135,0.0,5291.48,0.9,0.23
136,0.0,5174.48,0.9,0.1
137,0.0,3123.55,0.9,0.04
138,0.0,3726.43,0.9,0.03
139,0.0,4464.45,0.9,0.04
140,0.9989,5235.73,0.9,4707.19
141,0.0,4784.13,0.9,0.07
142,0.0,4069.07,0.9,0.1
143,0.0,3748.41,0.9,0.16
144,1e-04,2042.49,0.9,0.16
145,0.0003,3895.27,0.9,1.21
146,0.9999,4278.79,0.9,3850.66
147,0.0,5164.43,0.9,0.1
148,0.0,2383.02,0.9,0.03
149,0.9999,5716.67,0.9,5144.6
150,0.0,4970.62,0.9,0.07
151,0.0,6027.72,0.9,0.23
152,0.0,3498.81,0.9,0.04
153,0.9999,7880.38,0.9,7091.71
154,0.0,2437.19,0.9,0.08
155,0.0,3080.13,0.9,0.08
156,0.0,2752.12,0.9,0.04
157,0.0,4033.27,0.9,0.04
158,0.0,3701.53,0.9,0.03
159,0.9999,5713.43,0.9,5141.79
160,0.0,2775.33,0.9,0.08
161,0.0,2600.42,0.9,0.05
162,0.0,8087.43,0.9,0.16
163,0.9999,4993.66,0.9,4493.8
164,1e-04,3885.38,0.9,0.21
165,0.9999,3823.76,0.9,3441.12
166,0.0003,6149.4,0.9,1.93
167,0.0,4220.27,0.9,0.03
168,1e-04,6287.5,0.9,0.4
169,0.9999,3305.07,0.9,2974.22
170,0.0,4513.34,0.9,0.05
171,0.0,1766.1,0.9,0.03
172,0.0,3517.15,0.9,0.03
173,0.0,4751.48,0.9,0.07
174,0.0,1800.21,0.9,0.03
175,0.0,4613.29,0.9,0.07
176,1e-04,3184.87,0.9,0.3
177,0.0,2789.58,0.9,0.05
178,1e-04,2689.5,0.9,0.17
179,0.0,2875.9,0.9,0.03
180,0.0,3911.92,0.9,0.05
181,1e-04,7179.33,0.9,0.71
182,0.0,4410.02,0.9,0.06
183,0.0,6059.88,0.9,0.17
184,1e-04,4509.72,0.9,0.23
185,0.0,3057.97,0.9,0.02
186,0.0,6383.28,0.9,0.13
187,0.9999,3976.58,0.9,3578.71
188,0.0,3850.36,0.9,0.04
189,0.0,2161.21,0.9,0.04
190,0.0,5876.82,0.9,0.13
191,0.0,3873.88,0.9,0.03
192,0.0,3445.66,0.9,0.06
193,0.0,2762.79,0.9,0.03
194,0.0,3796.12,0.9,0.05
195,0.0,2699.79,0.9,0.04
196,0.0,5207.65,0.9,0.1
197,1e-04,3214.88,0.9,0.23
198,0.9999,4720.51,0.9,4248.13
199,0.0,2267.14,0.9,0.04
200,0.0,1513.43,0.9,0.04
201,0.0,2531.45,0.9,0.04
202,0.0,3606.15,0.9,0.03
203,1e-04,1796.16,0.9,0.12
204,0.0,2299.14,0.9,0.08
205,1.0,3119.19,0.9,2807.14
206,0.9998,4615.49,0.9,4153.01
207,0.9948,1676.73,0.9,1501.25
208,0.0,3575.02,0.9,0.03
209,0.0,4211.64,0.9,0.04
210,0.0,2415.21,0.9,0.06
211,1e-04,4790.73,0.9,0.22
212,0.0,2884.87,0.9,0.04
213,0.0004,3924.03,0.9,1.41
214,0.0,3294.76,0.9,0.03
215,0.0,2785.56,0.9,0.06
216,0.0,5253.97,0.9,0.1
217,0.0,3459.99,0.9,0.04
218,0.0,3874.61,0.9,0.04
219,0.0,4243.87,0.9,0.07
220,0.9999,6120.54,0.9,5508.12
221,0.0,3949.7,0.9,0.04
222,0.0344,3872.04,0.9,119.91
223,0.0,3966.36,0.9,0.06
224,1e-04,4146.56,0.9,0.19
225,0.0,4009.05,0.9,0.04
226,0.9999,3100.81,0.9,2790.46
227,0.0073,3206.81,0.9,20.98
228,0.0,4110.7,0.9,0.13
229,1.0,6163.8,0.9,5547.21
230,0.0,4110.07,0.9,0.05
231,0.0,5223.99,0.9,0.09
232,0.0,3245.9,0.9,0.03
233,1e-04,6254.29,0.9,0.42
234,0.9995,4104.43,0.9,3692.0
235,0.0,4277.03,0.9,0.13
236,0.0,4371.12,0.9,0.04
237,0.9999,4489.26,0.9,4040.12
238,0.0465,4524.69,0.9,189.22
239,0.0,2857.5,0.9,0.04
240,0.0,6344.1,0.9,0.18
241,1e-04,6862.68,0.9,0.33
242,0.0002,3417.07,0.9,0.67
243,0.0,5018.66,0.9,0.07
244,0.0005,5789.88,0.9,2.43
245,0.0,3379.99,0.9,0.05
246,1e-04,3815.77,0.9,0.3
247,1e-04,5194.98,0.9,0.67
248,0.0,3136.4,0.9,0.05
249,0.0,3740.98,0.9,0.04
250,0.9999,6385.69,0.9,5746.34
251,0.0,3175.87,0.9,0.06
252,0.0046,4250.23,0.9,17.62
253,0.0079,3975.34,0.9,28.38
254,0.0,6425.52,0.9,0.16
255,0.0,5020.63,0.9,0.08
256,0.0,5095.76,0.9,0.16
257,0.0,3227.73,0.9,0.08
258,0.0,6160.56,0.9,0.21
259,0.0,4241.95,0.9,0.06
260,1e-04,3456.06,0.9,0.23
261,0.0,4119.78,0.9,0.03
262,0.0,2130.74,0.9,0.07
263,0.0,2420.92,0.9,0.04
264,0.0,4632.52,0.9,0.06
265,0.0,5652.16,0.9,0.09
266,0.0011,1245.37,0.9,1.27
267,1e-04,3648.63,0.9,0.38
268,0.9999,4353.62,0.9,3917.67
269,1e-04,6283.73,0.9,0.45
270,0.9999,6465.62,0.9,5818.28
271,0.0,2554.19,0.9,0.02
272,0.9998,3303.41,0.9,2972.55
273,0.2523,1838.42,0.9,417.52
274,0.9999,5827.7,0.9,5244.63
275,0.0,2955.88,0.9,0.08
276,0.0002,6125.75,0.9,0.91
277,0.9988,2609.55,0.9,2345.82
278,0.0,2322.38,0.9,0.04
279,0.9999,3953.62,0.9,3557.93
280,0.0002,6358.09,0.9,1.25
281,0.0002,772.97,0.9,0.12
282,0.0,3702.54,0.9,0.03
283,0.0,4250.86,0.9,0.05
284,0.0303,5958.1,0.9,162.31
285,0.9999,3479.5,0.9,3131.34
286,0.0,3325.69,0.9,0.07
287,0.0,4738.59,0.9,0.17
288,1.0,4194.34,0.9,3774.72
289,0.0,5720.34,0.9,0.12
290,0.0,4545.34,0.9,0.14
291,0.0,6631.72,0.9,0.26
292,1e-04,2863.63,0.9,0.21
293,0.0006,6263.45,0.9,3.25
294,0.241,5268.47,0.9,1142.83
295,0.0,3494.59,0.9,0.06
296,0.0,2233.04,0.9,0.02
297,1e-04,5413.32,0.9,0.29
298,0.9999,5069.92,0.9,4562.68
299,1e-04,6724.54,0.9,0.81
300,0.0,3278.51,0.9,0.03
301,0.0,4694.62,0.9,0.06
302,0.9997,4881.63,0.9,4392.23
303,0.0,4224.62,0.9,0.04
304,1e-04,4366.06,0.9,0.22
305,1e-04,1628.22,0.9,0.1
306,0.0004,3736.31,0.9,1.51
307,0.0,2503.07,0.9,0.03
308,1e-04,5754.11,0.9,0.29
309,0.0,4046.89,0.9,0.03
310,0.0,4821.08,0.9,0.07
311,0.9997,3889.45,0.9,3499.48
312,1e-04,3338.49,0.9,0.19
313,0.0,3312.71,0.9,0.03
314,0.0,7757.39,0.9,0.22
315,0.0,2142.0,0.9,0.09
316,0.0,3353.22,0.9,0.07
317,0.0,5444.72,0.9,0.13
318,0.0,1791.9,0.9,0.04
319,0.9989,7257.15,0.9,6524.43
320,0.9999,7516.61,0.9,6764.23
321,0.9997,3838.98,0.9,3454.21
322,0.0,4442.6,0.9,0.05
323,0.0,4085.63,0.9,0.11
324,0.0,3973.66,0.9,0.04
325,0.0,5318.36,0.9,0.09
326,0.0002,5043.9,0.9,1.03
327,0.0,3692.19,0.9,0.03
328,1e-04,8729.63,0.9,1.14
329,0.0382,5737.75,0.9,197.35
330,0.0,5288.43,0.9,0.1
331,0.0002,5192.9,0.9,0.87
332,0.0,4865.85,0.9,0.15
333,1e-04,2582.41,0.9,0.33
334,1e-04,4613.02,0.9,0.55
335,0.0007,1559.79,0.9,0.93
336,1e-04,3964.22,0.9,0.45
337,0.0,4686.17,0.9,0.07
338,0.0,7870.57,0.9,0.15
339,0.0,4232.82,0.9,0.05
340,0.0,4175.19,0.9,0.17
341,0.0,2492.61,0.9,0.03
342,0.9999,6277.61,0.9,5649.43
343,0.0,3420.83,0.9,0.04
344,0.9987,4646.27,0.9,4176.24
345,0.0,2602.37,0.9,0.03
346,0.9997,8638.37,0.9,7772.09
347,0.0,1398.61,0.9,0.03
348,0.0,4073.51,0.9,0.05
349,0.9998,5147.24,0.9,4631.65
350,0.0,2044.18,0.9,0.05
351,0.9998,1161.62,0.9,1045.24
352,0.0,2400.01,0.9,0.07
353,1e-04,4408.53,0.9,0.2
354,1e-04,6055.78,0.9,0.63
355,0.0,3562.6,0.9,0.1
356,0.0,3048.24,0.9,0.13
357,0.0,3480.25,0.9,0.07
358,1e-04,5539.95,0.9,0.26
359,0.9996,3103.4,0.9,2791.94
360,0.0,5315.4,0.9,0.08
361,0.0,5103.45,0.9,0.07
362,0.0,3182.86,0.9,0.03
363,0.0,4414.11,0.9,0.07
364,0.0,2782.98,0.9,0.03
365,0.9945,2134.56,0.9,1910.55
366,0.0,4108.41,0.9,0.06
367,0.0012,3518.76,0.9,3.84
368,1e-04,6213.58,0.9,0.53
369,0.9999,4424.82,0.9,3982.11
370,0.0004,4149.56,0.9,1.67
371,0.9999,4655.04,0.9,4189.11
372,0.0,4774.76,0.9,0.06
373,1.0,4280.9,0.9,3852.67
374,0.0,1900.99,0.9,0.03
375,1e-04,5149.75,0.9,0.43
376,0.0,1798.78,0.9,0.02
377,0.0,2886.3,0.9,0.04
378,0.9999,4526.2,0.9,4073.33
379,0.0,3593.85,0.9,0.03
380,0.0,4380.28,0.9,0.05
381,1e-04,4288.29,0.9,0.33
382,0.0,2837.83,0.9,0.05
383,0.0,5050.29,0.9,0.05
384,0.0,2083.69,0.9,0.08
385,0.0,3041.27,0.9,0.06
386,0.0,2808.36,0.9,0.04
387,0.0,3877.82,0.9,0.04
388,1e-04,2853.33,0.9,0.14
389,1e-04,2282.41,0.9,0.2
390,1.0,4029.12,0.9,3626.04
391,0.9999,3837.92,0.9,3453.94
392,0.0,3688.93,0.9,0.04
393,0.0003,3983.68,0.9,1.2
394,0.0,3647.99,0.9,0.04
395,0.0,3928.8,0.9,0.06
396,0.0,4480.3,0.9,0.15
397,0.0,3921.39,0.9,0.04
398,0.0,4428.73,0.9,0.06
399,0.0,3296.81,0.9,0.04
400,0.962,3477.43,0.9,3010.85
401,1e-04,5295.41,0.9,0.4
402,0.0005,2279.57,0.9,0.98
403,0.9999,6612.86,0.9,5951.26
404,0.0037,3592.65,0.9,11.87
405,0.0,5254.59,0.9,0.1
406,0.0,6132.27,0.9,0.13
407,0.0,2788.66,0.9,0.03
408,0.9999,5781.08,0.9,5202.63
409,0.9999,5700.28,0.9,5129.66
410,0.0,4084.19,0.9,0.04
411,0.0,3125.74,0.9,0.02
412,0.0,5654.79,0.9,0.11
413,0.0,2407.83,0.9,0.04
414,0.0,6288.86,0.9,0.16
415,0.0,3900.25,0.9,0.04
416,0.0,1820.8,0.9,0.03
417,0.0,4666.03,0.9,0.06
418,0.9999,5759.94,0.9,5183.43
419,0.0006,6769.02,0.9,3.43
420,0.9999,4924.19,0.9,4431.42
421,0.0,4546.66,0.9,0.04
422,0.0,2701.85,0.9,0.03
423,0.9999,1638.27,0.9,1474.25
424,0.0,4309.24,0.9,0.06
425,0.0,4553.58,0.9,0.06
426,0.0,4917.21,0.9,0.19
427,1e-04,2886.13,0.9,0.14
428,0.0,2786.9,0.9,0.03
429,0.0,2653.7,0.9,0.04
430,0.0,6497.22,0.9,0.18
431,1e-04,6605.69,0.9,0.36
432,0.0,5387.69,0.9,0.12
433,0.9999,2312.68,0.9,2081.18
434,0.0028,4921.61,0.9,12.27
435,1e-04,5057.67,0.9,0.24
436,0.0,4265.32,0.9,0.05
437,0.0,4379.56,0.9,0.05
438,0.0,3097.73,0.9,0.05
439,1e-04,5587.9,0.9,0.7
440,0.0,4018.07,0.9,0.05
441,0.0002,6340.11,0.9,0.96
442,0.0,4618.44,0.9,0.17
443,0.0,5047.95,0.9,0.07
444,0.0,3409.42,0.9,0.08
445,0.0,2318.53,0.9,0.05
446,0.9987,5684.72,0.9,5109.38
447,0.0,3834.65,0.9,0.04
448,1e-04,6267.99,0.9,0.47
449,0.0,3960.81,0.9,0.14
450,0.0017,4130.42,0.9,6.47
451,0.0,2379.49,0.9,0.07
452,0.0014,3637.94,0.9,4.45
453,0.0,4455.63,0.9,0.06
454,0.001,3619.86,0.9,3.24
455,0.9999,5359.11,0.9,4822.57
456,0.0,4508.65,0.9,0.16
457,0.0,5697.61,0.9,0.13
458,0.0,5465.04,0.9,0.14
459,0.9999,4441.49,0.9,3997.05
460,0.0,3173.91,0.9,0.05
461,0.9998,3124.8,0.9,2811.88
462,1e-04,905.21,0.9,0.05
463,1e-04,6154.42,0.9,0.37
464,1e-04,6213.44,0.9,0.57
465,0.0,4436.2,0.9,0.05
466,0.0,5010.45,0.9,0.05
467,1e-04,5340.76,0.9,0.4
468,0.0,3325.4,0.9,0.07
469,0.0,6153.01,0.9,0.13
470,0.0,3292.19,0.9,0.08
471,0.0,3660.54,0.9,0.03
472,1e-04,7089.33,0.9,0.9
473,0.0,5754.65,0.9,0.12
474,0.9999,5891.16,0.9,5301.61
475,0.0,2157.76,0.9,0.02
476,0.9631,3153.39,0.9,2733.36
477,0.0,5020.13,0.9,0.07
478,1e-04,4871.1,0.9,0.28
479,0.0,5614.37,0.9,0.11
480,0.0,3766.64,0.9,0.04
481,0.0,5005.59,0.9,0.18
482,1e-04,3454.16,0.9,0.43
483,0.0,5405.95,0.9,0.11
484,0.0,4674.44,0.9,0.07
485,0.0,2700.88,0.9,0.06
486,0.9998,2943.3,0.9,2648.46
487,0.9999,7280.12,0.9,6551.45
488,0.0,2997.8,0.9,0.09
489,1e-04,3558.55,0.9,0.2
490,1e-04,1443.09,0.9,0.1
491,0.0,3068.12,0.9,0.03
492,0.9999,4998.08,0.9,4497.82
493,0.0,2918.62,0.9,0.04
494,0.0,3128.71,0.9,0.1
495,0.0,3377.61,0.9,0.05
496,0.0,4522.12,0.9,0.04
497,0.9999,5166.79,0.9,4649.77
498,0.0,4281.71,0.9,0.04
499,0.0,2622.81,0.9,0.05
500,0.0,3677.21,0.9,0.07
501,0.0,2382.22,0.9,0.05
502,1e-04,3773.33,0.9,0.26
503,0.0,2934.82,0.9,0.05
504,0.0,5123.35,0.9,0.08
505,0.0009,4201.99,0.9,3.49
506,0.0,4230.36,0.9,0.07
507,0.0032,3446.64,0.9,10.01
508,0.0,4393.71,0.9,0.08
509,0.0,5457.59,0.9,0.13
510,1e-04,6321.09,0.9,0.51
511,0.0,3515.83,0.9,0.08
512,0.0,5983.54,0.9,0.14
513,0.9999,5401.06,0.9,4860.4
514,0.0,3930.16,0.9,0.04
515,0.0002,6110.09,0.9,0.98
516,0.9998,3829.42,0.9,3445.89
517,1.0,4673.29,0.9,4205.8
518,1e-04,2166.35,0.9,0.21
519,0.0,5581.54,0.9,0.1
520,0.0,2969.64,0.9,0.08
521,0.0,5695.75,0.9,0.1
522,0.0,4505.4,0.9,0.05
523,0.0,2520.0,0.9,0.03
524,0.9999,4110.6,0.9,3699.25
525,0.0,3551.59,0.9,0.06
526,0.0,4140.18,0.9,0.09
527,0.0,3366.18,0.9,0.07
528,0.0002,4273.78,0.9,0.83
529,0.0,4337.31,0.9,0.06
530,0.0,3891.41,0.9,0.04
531,0.0,3630.75,0.9,0.06
532,0.0,3133.95,0.9,0.04
533,0.9999,3226.79,0.9,2903.86
534,0.0,2737.16,0.9,0.03
535,0.0,5679.22,0.9,0.24
536,0.9995,1035.47,0.9,931.48
537,0.9931,4490.09,0.9,4013.23
538,1e-04,5192.79,0.9,0.5
539,0.0,3250.54,0.9,0.04
540,1.0,5742.28,0.9,5167.84
541,0.0266,5310.71,0.9,127.21
542,0.0,3849.08,0.9,0.03
543,0.0,3096.42,0.9,0.11
544,0.0002,3558.91,0.9,0.67
545,0.9985,5254.53,0.9,4722.02
546,0.0,4283.14,0.9,0.03
547,1e-04,5891.88,0.9,0.3
548,1e-04,5554.45,0.9,0.28
549,0.0,3884.6,0.9,0.04
550,0.9991,1703.32,0.9,1531.6
551,0.0,2093.45,0.9,0.02
552,0.0,6655.69,0.9,0.29
553,0.0,3972.97,0.9,0.04
554,0.0,4672.31,0.9,0.08
555,0.9994,2109.72,0.9,1897.54
556,0.0032,4729.81,0.9,13.76
557,0.9961,5400.65,0.9,4841.79
558,0.0,2048.87,0.9,0.03
559,0.0,6935.37,0.9,0.17
560,0.1006,3458.75,0.9,313.25
561,1.0,5595.93,0.9,5036.09
562,0.9608,4984.26,0.9,4309.99
563,0.0101,6509.66,0.9,59.42
564,0.0,3106.5,0.9,0.03
565,0.0426,8355.75,0.9,320.5
566,0.0,3920.75,0.9,0.04
567,0.0,4459.89,0.9,0.08
568,0.0002,5762.51,0.9,0.84
569,0.0,2822.35,0.9,0.02
570,0.0,2917.14,0.9,0.05
571,0.9972,4191.18,0.9,3761.51
572,0.0,3966.07,0.9,0.05
573,0.0415,3527.72,0.9,131.91
574,0.0,6113.56,0.9,0.16
575,0.0,5327.6,0.9,0.08
576,1e-04,4795.72,0.9,0.32
577,1.0,6228.75,0.9,5605.63
578,0.0,3536.64,0.9,0.09
579,0.0,3618.87,0.9,0.16
580,1e-04,6374.75,0.9,0.3
581,0.0,3011.05,0.9,0.03
582,0.0,4321.06,0.9,0.04
583,0.0,7083.78,0.9,0.16
584,1e-04,5827.0,0.9,0.35
585,0.0,3150.99,0.9,0.04
586,0.0,2706.33,0.9,0.03
587,0.0,3358.22,0.9,0.05
588,0.0,5328.08,0.9,0.09
589,0.0,4349.85,0.9,0.05
590,0.0,2640.87,0.9,0.04
591,0.0,3463.68,0.9,0.14
592,0.0,3818.93,0.9,0.03
593,0.9998,2473.64,0.9,2225.82
594,0.0,3889.48,0.9,0.1
595,0.9919,2612.72,0.9,2332.4
596,0.0,3824.62,0.9,0.03
597,0.0,2073.52,0.9,0.07
598,1e-04,6290.5,0.9,0.29
599,0.0002,5539.63,0.9,0.95
600,0.0,5379.23,0.9,0.09
601,0.0,4342.55,0.9,0.04
602,0.0002,4489.54,0.9,0.73
603,0.0,5117.82,0.9,0.07
604,0.0002,3566.71,0.9,0.79
605,0.0,2811.61,0.9,0.04
606,0.0,3820.85,0.9,0.03
607,0.0,4043.22,0.9,0.03
608,0.0,3736.53,0.9,0.03
609,0.0,5330.78,0.9,0.09
610,0.0,2804.42,0.9,0.03
611,1e-04,2306.06,0.9,0.22
612,0.0048,1660.86,0.9,7.22
613,1e-04,6988.82,0.9,0.46
614,0.9999,4939.08,0.9,4444.78
615,1e-04,5420.55,0.9,0.52
616,0.9996,6095.96,0.9,5483.97
617,1e-04,3837.68,0.9,0.2
618,1e-04,2437.74,0.9,0.17
619,0.9997,3275.02,0.9,2946.77
620,0.0,6664.9,0.9,0.22
621,0.0,3769.9,0.9,0.03
622,1e-04,5686.29,0.9,0.34
623,0.0,2805.05,0.9,0.03
624,0.0,3828.93,0.9,0.1
625,0.0,3292.72,0.9,0.04
626,0.0,3945.03,0.9,0.04
627,0.0,4557.96,0.9,0.06
628,0.0,4840.56,0.9,0.07
629,0.0,2685.92,0.9,0.05
630,0.0,1606.11,0.9,0.05
631,0.0,2492.89,0.9,0.02
632,0.0,3810.79,0.9,0.03
633,1e-04,6715.58,0.9,0.85
634,0.0,3258.24,0.9,0.06
635,0.9999,6412.61,0.9,5770.93
636,0.0,1703.33,0.9,0.03
637,0.0,5459.03,0.9,0.15
638,0.0,3206.65,0.9,0.03
639,1e-04,2701.12,0.9,0.28
640,0.0,6405.33,0.9,0.14
641,0.0,3166.54,0.9,0.03
642,0.0,4608.02,0.9,0.06
643,0.9978,5715.74,0.9,5133.07
644,1e-04,3547.9,0.9,0.3
645,0.0,3816.47,0.9,0.04
646,0.0,3590.21,0.9,0.04
647,0.0,2417.5,0.9,0.03
648,0.0,4449.33,0.9,0.13
649,0.0,3527.93,0.9,0.03
650,0.0,3411.3,0.9,0.05
651,0.0221,9030.23,0.9,179.27
652,0.0,5256.33,0.9,0.08
653,0.0,4166.89,0.9,0.04
654,0.9999,4221.94,0.9,3799.32
655,0.0,4621.72,0.9,0.06
656,0.0,3869.98,0.9,0.03
657,1.0,4379.89,0.9,3941.71
658,0.0,2259.2,0.9,0.02
659,0.001,2634.02,0.9,2.25
660,0.0,4246.84,0.9,0.05
661,0.0,4121.56,0.9,0.04
662,1e-04,5440.3,0.9,0.4
663,0.9996,4914.8,0.9,4421.46
664,1e-04,4608.75,0.9,0.33
665,0.015,5617.65,0.9,75.94
666,0.0,5788.3,0.9,0.16
667,0.9999,4973.53,0.9,4475.61
668,0.0,2503.66,0.9,0.04
669,0.0,5257.7,0.9,0.08
670,0.0,5605.34,0.9,0.1
671,0.0,4185.94,0.9,0.04
672,0.0,4514.04,0.9,0.07
673,0.0,6232.86,0.9,0.17
674,0.0,3192.89,0.9,0.03
675,1e-04,4122.73,0.9,0.48
676,1e-04,2322.07,0.9,0.29
677,0.0,3796.34,0.9,0.03
678,0.9999,4029.98,0.9,3626.72
679,1e-04,3953.7,0.9,0.19
680,0.9999,3400.26,0.9,3060.02
681,0.0,3969.11,0.9,0.04
682,0.0,3938.35,0.9,0.04
683,0.0002,6353.33,0.9,1.11
684,0.0,1931.18,0.9,0.03
685,0.0,4951.34,0.9,0.12
686,0.0,3150.31,0.9,0.04
687,0.0,2688.11,0.9,0.08
688,0.0,4636.97,0.9,0.14
689,0.0,3044.9,0.9,0.02
690,0.0,3952.47,0.9,0.04
691,0.0,3069.35,0.9,0.11
692,0.0,3051.85,0.9,0.05
693,0.851,2433.09,0.9,1863.53
694,1.0,4381.48,0.9,3943.13
695,0.0,6702.56,0.9,0.17
696,0.0,4235.06,0.9,0.04
697,0.0003,3445.21,0.9,0.99
698,0.0,4021.31,0.9,0.04
699,0.0,4451.55,0.9,0.05
700,0.0,2838.7,0.9,0.04
701,0.0,3510.14,0.9,0.02
702,0.0,4694.85,0.9,0.16
703,0.0,4804.0,0.9,0.07
704,0.9999,4309.04,0.9,3877.84
705,0.9996,5328.58,0.9,4794.01
706,0.0,4398.58,0.9,0.05
707,0.0,2805.94,0.9,0.04
708,0.0,4238.25,0.9,0.11
709,0.0,4613.05,0.9,0.05
710,0.0,2349.45,0.9,0.08
711,0.9998,2911.12,0.9,2619.53
712,0.0,5953.8,0.9,0.12
713,0.0,2868.81,0.9,0.04
